marka,ban növü,rəng,mühərrik,sürətlər qutusu,yeni,vəziyyəti,yürüş,yaş,qiymət
45,9,2,0,0,0,3,0.0,1.0,55000
3,3,7,0,0,1,3,12706.0,19.0,60860
40,9,0,0,0,0,3,0.0,1.0,36499
3,4,7,0,0,1,3,12000.0,2.0,375698
26,9,0,0,0,1,3,158000.0,11.0,36300
7,11,7,0,0,1,3,35000.0,7.0,51850
2,11,7,0,0,1,3,201000.0,10.0,24300
33,2,8,0,1,1,3,350000.0,16.0,10000
42,9,7,1,0,1,3,18000.0,4.0,190400
33,9,13,1,0,1,3,135000.0,6.0,41850
26,9,0,1,0,1,3,142000.0,10.0,31700
33,9,0,1,0,1,3,124600.0,8.0,40000
3,9,13,0,0,1,3,287000.0,20.0,16900
3,9,7,0,0,1,3,181800.0,18.0,27000
33,11,7,0,0,1,3,375000.0,11.0,7200
30,9,7,0,0,1,3,100000.0,10.0,51000
42,11,2,1,0,1,3,239297.0,9.0,45560
54,9,7,0,0,1,3,93000.0,8.0,62560
42,9,3,2,0,1,3,27500.0,3.0,108800
33,9,7,1,0,1,2,127000.0,7.0,48800
26,11,0,5,0,1,3,104450.0,9.0,23900
10,9,0,2,0,0,3,0.0,2.0,39100
42,11,4,0,0,1,3,384400.0,29.0,8500
2,11,3,0,0,1,3,276000.0,12.0,28500
54,11,7,0,0,1,3,19500.0,3.0,75650
54,11,4,3,0,0,3,0.0,1.0,39610
33,11,2,0,0,1,3,69000.0,4.0,22900
39,9,3,0,0,1,3,25000.0,3.0,59330
57,9,2,2,0,0,3,0.0,1.0,54400
32,11,3,0,1,1,3,106000.0,5.0,9900
26,9,0,1,0,1,3,193700.0,8.0,43000
44,9,4,0,0,1,3,273251.0,21.0,10700
3,11,7,0,0,1,3,204000.0,12.0,34000
14,11,0,0,1,1,3,234000.0,11.0,10800
48,11,3,0,0,1,3,73200.0,7.0,35500
3,9,2,0,0,1,3,28000.0,4.0,216750
21,9,2,3,0,0,3,0.0,1.0,47900
